epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,8950.16,0.55133,0.79087,0.37796,0.92572,0.83481,0.64645,0.75072,0.42259,0.82926,0.55814,0.62269,0.34022,1.55527,3.93019,1.06481,1.79598,0.00068,0.00068,0.00068
102,9040.14,0.56029,0.74592,0.37776,0.93083,0.76184,0.61628,0.73924,0.43365,0.76184,0.61628,0.66035,0.35488,1.53495,3.97221,1.26894,1.78373,0.0006668,0.0006668,0.0006668
103,9130.54,0.53049,0.72519,0.36387,0.92064,0.86375,0.62791,0.76284,0.44179,0.82756,0.60465,0.66361,0.35374,1.58088,4.39769,1.20096,1.81824,0.0006536,0.0006536,0.0006536
104,9217.81,0.55172,0.7355,0.37405,0.94126,0.85841,0.59302,0.68703,0.40812,0.84016,0.5814,0.62345,0.34732,1.60039,4.54365,1.31741,1.83095,0.0006404,0.0006404,0.0006404
105,9306.13,0.52916,0.72666,0.3642,0.93536,0.82369,0.66279,0.74317,0.44629,0.81364,0.5814,0.62691,0.36318,1.57811,4.28123,1.30723,1.81558,0.0006272,0.0006272,0.0006272
106,9395.09,0.54479,0.7646,0.37309,0.9388,0.77155,0.7069,0.76288,0.43754,0.76922,0.58135,0.63442,0.35385,1.62255,4.5172,1.19967,1.88352,0.000614,0.000614,0.000614
107,9484.75,0.53348,0.72554,0.37128,0.91939,0.83781,0.6007,0.73543,0.42615,0.80387,0.57192,0.62304,0.34412,1.63882,4.21287,1.29661,1.85996,0.0006008,0.0006008,0.0006008
108,9575.06,0.51905,0.71777,0.34822,0.9143,0.85096,0.66393,0.77751,0.44979,0.84273,0.5814,0.6618,0.35704,1.56001,4.54383,1.07001,1.80129,0.0005876,0.0005876,0.0005876
109,9665.08,0.51542,0.70352,0.35605,0.91624,0.7982,0.66279,0.7389,0.4356,0.81726,0.60465,0.65325,0.35647,1.57407,4.81518,1.10069,1.7955,0.0005744,0.0005744,0.0005744
110,9755.22,0.50473,0.68156,0.34919,0.90833,0.86519,0.59703,0.70581,0.41186,0.89185,0.57539,0.65704,0.36164,1.66538,4.42306,1.29363,1.86444,0.0005612,0.0005612,0.0005612
111,9845.29,0.49471,0.66492,0.34473,0.90993,0.84248,0.59302,0.74518,0.44183,0.82954,0.5814,0.66387,0.34922,1.64807,4.72493,1.1892,1.90416,0.000548,0.000548,0.000548
112,9932.69,0.51274,0.7004,0.35705,0.91313,0.76384,0.65116,0.73876,0.41796,0.93474,0.54651,0.65494,0.3512,1.62588,4.21369,1.28079,1.85273,0.0005348,0.0005348,0.0005348
113,10021.2,0.52936,0.74039,0.36014,0.93174,0.69473,0.66279,0.72358,0.4273,0.68807,0.56433,0.61484,0.34754,1.57132,4.19579,1.2851,1.82333,0.0005216,0.0005216,0.0005216
114,10109.4,0.52415,0.70961,0.35885,0.92145,0.80091,0.65116,0.75387,0.42606,0.7723,0.62791,0.64797,0.35819,1.65288,4.19309,1.15608,1.92798,0.0005084,0.0005084,0.0005084
